教科書,学年,節,単元,単元名,開始ページ,終了ページ
New Horizon,中2,4,4,Read and Think 2,54,55
New Crown,中2,4,5,Take Action!,55,56
New Horizon,中2,4,5,Unit Activity 4,56,56
New Crown,中1,4,5,Take Action! Talk2,63,63
New Horizon,中2,4,6,Real Life English 4,57,57
New Horizon,中2,4,7,Grammar for Comunication 4,58,58
New Horizon,中2,5,1,Part1,60,60
New Horizon,中3,5,1,Part1,62,62
New Crown,中2,5,1,Part1,58,59
New Horizon,中1,5,1,Part1,62,63
New Crown,中1,5,1,Part1,68,69
New Crown,中3,5,1,Part1,56,57
New Horizon,中2,5,2,Part2,61,61
New Horizon,中1,5,2,Part2,64,65
New Horizon,中3,5,2,Part2,63,63
New Crown,中2,5,2,Part2,60,61
New Crown,中3,5,2,Part2,58,59
New Crown,中1,5,2,Part2,70,71
New Horizon,中1,5,3,Read and Think,66,67
New Horizon,中2,5,3,Read and Think 1,62,63
New Crown,中3,5,3,Part3,60,62
New Horizon,中3,5,3,Read and Think 1,64,69
New Crown,中1,5,3,Part3,72,73
New Crown,中2,5,3,Part3,62,63
New Crown,中3,5,4,Take Action!,65,66
New Horizon,中1,5,4,Real Life English 1,69,69
New Horizon,中2,5,4,Read and Think 2,64,65
New Horizon,中3,5,4,Stage Activity 2,72,75
New Crown,中2,5,4,Goal Activity,64,65
New Crown,中1,5,4,Goal Activity,74,75
New Horizon,中2,5,5,Unit Activity 5,66,66
New Crown,中2,5,5,Take Action!,67,68
New Crown,中1,5,5,Language Focus3,76,76
New Horizon,中2,5,6,Real Life English 5,67,67
New Horizon,中3,6,1,Part1,78,78
New Crown,中1,6,1,Part1,80,81
New Horizon,中2,6,1,Part1,70,70
New Horizon,中1,6,1,Part1,72,73
New Crown,中3,6,1,Part1,68,69
New Crown,中2,6,1,Part1,70,71
New Crown,中2,6,2,Part2,72,73
New Crown,中1,6,2,Part2,82,83
New Horizon,中2,6,2,Part2,71,71
New Crown,中3,6,2,Part2,70,71
New Horizon,中1,6,2,Part2,74,75
New Horizon,中3,6,2,Part2,79,79
New Horizon,中3,6,3,Read and Think 1,80,85
New Crown,中2,6,3,Part3,74,75
New Horizon,中1,6,3,Read and Think,76,77
New Crown,中3,6,3,Goal Activity,72,77
New Crown,中1,6,3,Part3,84,85
New Horizon,中2,6,3,Read and Think 1,72,73
New Crown,中3,6,4,Reading Lesson2-1,78,79
New Horizon,中2,6,4,Read and Think 2,74,75
New Horizon,中3,6,4,Stage Activity 3,88,91
New Horizon,中1,6,4,Real Life English 2,79,79
New Crown,中1,6,4,Goal Activity,86,87
New Crown,中2,6,4,Goal Activity,76,81
New Crown,中3,6,5,Reading Lesson2-2,80,81
New Crown,中2,6,5,Reading Lesson2,82,83
New Horizon,中1,6,5,Grammar for Comunication 5,80,80
New Horizon,中3,6,5,Let's Read 2,92,95
New Horizon,中2,6,5,Unit Activity 6,76,76
New Crown,中1,6,5,Language Focus4,88,88
New Horizon,中3,6,6,Let's Read 3,96,100
New Crown,中2,6,6,Reading Lesson 2-2,84,86
New Horizon,中2,6,6,Real Life English 6,77,77
New Horizon,中2,6,7,Stage Activity 2,80,83
New Crown,中1,6,7,Take Action! Talk3,90,90
New Horizon,中2,6,8,Let's Read 2,84,87
New Crown,中2,7,1,Part1,88,89
New Horizon,中2,7,1,Part1,90,90
New Crown,中1,7,1,Part1,92,93
New Horizon,中1,7,1,Part1,82,83
New Crown,中3,7,1,Part1,84,85
New Horizon,中2,7,2,Part2,91,91
New Crown,中2,7,2,Part2,90,91
New Crown,中3,7,2,Part2,86,87
New Crown,中1,7,2,Part2,94,95
New Horizon,中1,7,2,Part2,84,85
New Crown,中3,7,3,part3,88,91
New Crown,中2,7,3,Part3,92,93
New Horizon,中2,7,3,Read and Think 1,92,93
New Horizon,中1,7,3,Read and Think,86,87
New Crown,中1,7,3,Goal Activity,96,97
New Crown,中1,7,4,Language Focus5,98,99
New Horizon,中1,7,4,Real Life English 3,89,89
New Crown,中3,7,4,Take Action!,93,94
New Horizon,中2,7,4,Read and Think 2,94,95
New Crown,中2,7,4,Goal Activity,94,95
New Horizon,中2,7,5,Unit Activity 7,96,96
New Crown,中2,7,5,Take Action!,97,98
New Crown,中1,7,5,Reading Lesson1,102,103
New Horizon,中2,7,6,Real Life English 7,97,97
New Horizon,中2,7,7,Stage Activity 3,100,103
New Horizon,中2,7,8,Let's Read 3,104,107
New Horizon,中2,7,9,Further Reading,110,112
New Crown,中1,8,1,Part1,106,107
New Horizon,中1,8,1,Part1,92,93
New Crown,中2,8,1,Part1,100,101
New Crown,中3,8,1,Part1,96,97
New Horizon,中1,8,2,Part2,94,95
New Crown,中3,8,2,Part2,98,99
New Crown,中2,8,2,Part2,102,103
New Crown,中1,8,2,Part2,108,109
New Crown,中3,8,3,Goal Activity,100,103
New Horizon,中1,8,3,Read and Think,96,97
New Crown,中2,8,3,Goal Activity,104,109
New Crown,中1,8,3,Part3,110,111
New Horizon,中1,8,4,Real Life English 4,99,101
New Crown,中2,8,4,Reading Lesson3,110,113
New Crown,中3,8,4,Take Action!,105,107
New Crown,中1,8,4,Goal Activity,112,113
New Crown,中3,8,5,Reading Lesson3-1,108,109
New Crown,中3,8,6,Reading Lesson3-2,110,111
New Crown,中2,9,1,further reading1,114,118
New Horizon,中1,9,1,Part1,104,105
New Crown,中1,9,1,Part1,118,119
New Crown,中2,9,2,further reading2,-,-
New Crown,中1,9,2,Part2,120,121
New Horizon,中1,9,2,Part2,106,107
New Horizon,中1,9,3,Read and Think,108,109
New Crown,中1,9,3,Goal Activity,122,123
New Crown,中2,9,3,further reading3,-,-
New Horizon,中1,9,4,Real Life English 5,111,111
New Crown,中1,9,4,Language Focus7,124,125
New Crown,中1,9,6,Take Action! Talk4,127,127
New Crown,中1,9,7,Reading Lesson2,130,132
New Horizon,中1,10,1,Part1,114,115
New Horizon,中1,10,2,Part2,116,117
New Horizon,中1,10,3,Read and Think,118,120
New Horizon,中1,10,4,Real Life English 6,121,125
New Horizon,中1,11,1,Let's Read①,126,126
New Horizon,中1,11,2,Let's Read②,127,127
New Horizon,中1,11,3,Let's Read③,128,128
