教科書名,学年,節,単元,単語,意味
New Crown,中1,0,6,queen,女王
New Crown,中1,0,6,vet,獣医
New Crown,中1,0,6,weather,天気
New Crown,中1,0,6,box,箱
New Crown,中1,0,6,yacht,ヨット
New Crown,中1,0,6,glove,グローブ
New Crown,中1,0,6,gym,体育館
New Crown,中1,0,6,lunch,昼食
New Crown,中1,0,6,nurse,看護師
New Crown,中1,0,6,rabbit,ウサギ
New Crown,中1,0,6,umbrella,傘
New Crown,中1,0,6,unicycle,一輪車
New Crown,中1,0,6,game,ゲーム
New Crown,中1,0,6,desk,机
New Crown,中1,0,6,uniform,制服
New Crown,中1,0,8,English,英語
New Crown,中1,0,8,Japanese,日本語
New Crown,中1,0,8,jam,ジャム
New Crown,中1,0,8,egg,卵
New Crown,中1,0,8,fish,魚
New Crown,中1,0,8,math,数学
New Crown,中1,0,8,science,理科
New Crown,中1,0,8,social studies,社会
New Crown,中1,0,8,music,音楽
New Crown,中1,0,8,P.E.,体育
New Crown,中1,0,8,art,美術
New Crown,中1,0,8,moral education,道徳
New Crown,中1,0,8,technology and home economics,技術・家庭科
New Crown,中1,0,8,beef,牛肉
New Crown,中1,0,8,chicken,鶏肉
New Crown,中1,0,8,pork,豚肉
New Crown,中1,0,8,rice,ご飯、米
New Crown,中1,0,8,bacon,ベーコン
New Crown,中1,0,8,cheese,チーズ
New Crown,中1,0,8,ham,ハム
New Crown,中1,0,8,nuts,ナッツ
New Crown,中1,0,8,sausage,ソーセージ
New Crown,中1,0,8,bread,パン
New Crown,中1,0,8,curry and rice,カレーライス
New Crown,中1,0,8,French fries,フライドポテト
New Crown,中1,0,8,fried chicken,フライドチキン
New Crown,中1,0,8,hamburger,ハンバーガー
New Crown,中1,0,8,omelet,オムレツ
New Crown,中1,0,8,pizza,ピザ
New Crown,中1,0,8,rice ball,おにぎり
New Crown,中1,0,8,salad,サラダ
New Crown,中1,0,8,sandwich,サンドイッチ
New Crown,中1,0,8,spaghetti,スパゲッティ
New Crown,中1,0,8,steak,ステーキ
New Crown,中1,0,8,corn soup,コーンスープ
New Crown,中1,0,8,miso soup,みそ汁
New Crown,中1,0,8,grilled fish,焼き魚
New Crown,中1,0,8,noodles,麺
New Crown,中1,0,8,hot dog,ホットドッグ
New Crown,中1,0,8,soccer,サッカー
New Crown,中1,0,8,apple,りんご
New Crown,中1,0,8,ice cream,アイスクリーム
New Crown,中1,0,8,banana,バナナ
New Crown,中1,0,8,carrot,にんじん
New Crown,中1,0,8,cherry,さくらんぼ
New Crown,中1,0,8,grapes,ぶどう
New Crown,中1,0,8,lemon,レモン
New Crown,中1,0,8,orange,オレンジ
New Crown,中1,0,8,peach,もも
New Crown,中1,0,8,pineapple,パイナップル
New Crown,中1,0,8,potato,じゃがいも
New Crown,中1,0,8,watermelon,スイカ
New Crown,中1,0,8,cabbage,キャベツ
New Crown,中1,0,8,cucumber,キュウリ
New Crown,中1,0,8,green pepper,ピーマン
New Crown,中1,0,8,kiwi fruit,キウイフルーツ
New Crown,中1,0,8,lettuce,レタス
New Crown,中1,0,8,melon,メロン
New Crown,中1,0,8,mushroom,キノコ
New Crown,中1,0,8,onion,タマネギ
New Crown,中1,0,8,strawberry,イチゴ
New Crown,中1,0,8,cake,ケーキ
New Crown,中1,0,8,chocolate,チョコレート
New Crown,中1,0,8,pie,パイ
New Crown,中1,0,8,popcorn,ポップコーン
New Crown,中1,0,8,pudding,プリン
New Crown,中1,0,8,donut,ドーナツ
New Crown,中1,0,8,pancake,パンケーキ
New Crown,中1,0,8,parfait,パフェ
New Crown,中1,0,8,shaved ice,かき氷
New Crown,中1,0,8,snack food,スナック菓子
New Crown,中1,0,8,yogurt,ヨーグルト
New Crown,中1,0,8,coffee,コーヒー
New Crown,中1,0,8,green tea,緑茶
New Crown,中1,0,8,juice,ジュース
New Crown,中1,0,8,milk,牛乳
New Crown,中1,0,8,tea,お茶
New Crown,中1,0,8,water,水
New Crown,中1,0,8,badminton,バドミントン
New Crown,中1,0,8,baseball,野球
New Crown,中1,0,8,basketball,バスケットボール
New Crown,中1,0,8,judo,柔道
New Crown,中1,0,8,rugby,ラグビー
New Crown,中1,0,8,skateboarding,スケートボード
New Crown,中1,0,8,skiing,スキー
New Crown,中1,0,8,table tennis,卓球
New Crown,中1,0,8,tennis,テニス
New Crown,中1,0,8,volleyball,バレーボール
New Crown,中1,0,8,wheelchair basketball,車いすバスケットボール
New Crown,中1,0,8,archery,アーチェリー
New Crown,中1,0,8,gymnastics,体操
New Crown,中1,0,8,skating,スケート
New Crown,中1,0,8,softball,ソフトボール
New Crown,中1,0,8,swimming,水泳
New Crown,中1,0,8,track and field,陸上競技
New Crown,中1,0,8,cat,猫
New Crown,中1,0,8,circle,円
New Crown,中1,0,8,horse,馬
New Crown,中1,0,8,dog,犬
New Crown,中1,0,8,tiger,トラ
New Crown,中1,0,8,big,大きい
New Crown,中1,0,8,fox,キツネ
New Crown,中1,0,8,zebra,シマウマ
New Crown,中1,0,8,lion,ライオン
New Crown,中1,0,8,bear,クマ
New Crown,中1,0,8,bird,鳥
New Crown,中1,0,8,monkey,サル
New Crown,中1,0,8,panda,パンダ
New Crown,中1,0,8,pig,豚
New Crown,中1,0,8,cow,牛
New Crown,中1,0,8,dolphin,イルカ
New Crown,中1,0,8,elephant,象
New Crown,中1,0,8,gorilla,ゴリラ
New Crown,中1,0,8,koala,コアラ
New Crown,中1,0,8,mouse,ネズミ
New Crown,中1,0,8,penguin,ペンギン
New Crown,中1,0,8,snake,ヘビ
New Crown,中1,0,8,heart,ハート
New Crown,中1,0,8,rectangle,長方形
New Crown,中1,0,8,square,正方形
New Crown,中1,0,8,star,星
New Crown,中1,0,8,triangle,三角形
New Crown,中1,0,8,small,小さい
New Crown,中1,0,8,long,長い
New Crown,中1,0,8,short,短い
New Crown,中1,0,8,old,古い
New Crown,中1,0,8,new,新しい
New Crown,中1,0,8,hard,硬い
New Crown,中1,0,8,soft,柔らかい
New Crown,中1,0,8,fast,速い
New Crown,中1,0,8,slow,遅い
New Crown,中1,0,8,beautiful,美しい
New Crown,中1,0,8,nice,素敵な
New Crown,中1,0,8,black,黒
New Crown,中1,0,8,blue,青
New Crown,中1,0,8,brown,茶色
New Crown,中1,0,8,green,緑
New Crown,中1,0,8,pink,ピンク
New Crown,中1,0,8,purple,紫
New Crown,中1,0,8,red,赤
New Crown,中1,0,8,white,白
New Crown,中1,0,8,yellow,黄色
New Crown,中1,0,8,cool,かっこいい
New Crown,中1,0,8,cute,かわいい
New Crown,中1,0,8,famous,有名な
New Crown,中1,0,8,friendly,親しみやすい
New Crown,中1,0,8,kind,親切な
New Crown,中1,0,8,strong,強い
New Crown,中1,0,8,brave,勇敢な
New Crown,中1,0,8,funny,おもしろい
New Crown,中1,0,8,smart,かしこい
New Crown,中1,0,8,salty,塩辛い
New Crown,中1,0,8,sour,酸っぱい
New Crown,中1,0,8,spicy,からい
New Crown,中1,0,8,hot,辛い、熱い
New Crown,中1,0,8,cold,冷たい
New Crown,中1,0,8,delicious,おいしい
New Crown,中1,0,8,bitter,苦い
New Crown,中1,0,8,fresh,新鮮な
New Crown,中1,0,8,sweet,甘い
New Crown,中1,0,8,exciting,わくわくさせる
New Crown,中1,0,8,fine,元気な、晴れた
New Crown,中1,0,8,fun,楽しい
New Crown,中1,0,8,good,良い
New Crown,中1,0,8,great,すばらしい
New Crown,中1,0,8,interesting,おもしろい
New Crown,中1,0,8,angry,怒って
New Crown,中1,0,8,happy,幸せな
New Crown,中1,0,8,hungry,空腹の
New Crown,中1,0,8,sad,悲しい
New Crown,中1,0,8,sleepy,眠い
New Crown,中1,0,8,thirsty,のどが渇いた
New Crown,中1,0,8,always,いつも
New Crown,中1,0,8,usually,たいてい
New Crown,中1,0,8,sometimes,ときどき
New Crown,中1,0,8,never,決して～ない
New Crown,中1,0,8,spring,春
New Crown,中1,0,8,summer,夏
New Crown,中1,0,8,morning,朝
New Crown,中1,0,8,afternoon,午後
New Crown,中1,0,8,evening,夕方、晩
New Crown,中1,0,8,night,夜
New Crown,中1,0,8,autumn / fall,秋
New Crown,中1,0,8,winter,冬
New Crown,中1,0,8,run,走る
New Crown,中1,0,8,cook,料理する
New Crown,中1,0,8,sing,歌う
New Crown,中1,0,8,swim,泳ぐ
New Crown,中1,0,8,camping,キャンプ
New Crown,中1,0,8,fishing,釣り
New Crown,中1,0,8,hiking,ハイキング
New Crown,中1,0,8,jogging,ジョギング
New Crown,中1,0,8,shopping,買い物
New Crown,中1,0,8,surfing,サーフィン
New Crown,中1,0,8,Tuesday,火曜日
New Crown,中1,0,8,drum,ドラム
New Crown,中1,0,8,brass band,吹奏楽
New Crown,中1,0,8,calligraphy,書道
New Crown,中1,0,8,chorus,合唱
New Crown,中1,0,8,computer,コンピュータ
New Crown,中1,0,8,cooking,料理
New Crown,中1,0,8,dance,ダンス
New Crown,中1,0,8,drama,演劇
New Crown,中1,0,8,newspaper,新聞
New Crown,中1,0,8,guitar,ギター
New Crown,中1,0,8,piano,ピアノ
New Crown,中1,0,8,recorder,リコーダー
New Crown,中1,0,8,trumpet,トランペット
New Crown,中1,0,8,violin,バイオリン
New Crown,中1,0,8,Sunday,日曜日
New Crown,中1,0,8,Monday,月曜日
New Crown,中1,0,8,Wednesday,水曜日
New Crown,中1,0,8,Thursday,木曜日
New Crown,中1,0,8,Friday,金曜日
New Crown,中1,0,8,Saturday,土曜日
New Crown,中1,0,8,one,1
New Crown,中1,0,8,two,2
New Crown,中1,0,8,three,3
New Crown,中1,0,8,four,4
New Crown,中1,0,8,five,5
New Crown,中1,0,8,six,6
New Crown,中1,0,8,seven,7
New Crown,中1,0,8,eight,8
New Crown,中1,0,8,nine,9
New Crown,中1,0,8,ten,10
New Crown,中1,0,8,eleven,11
New Crown,中1,0,8,twelve,12
New Crown,中1,0,8,fifteen,15
New Crown,中1,0,8,twenty,20
New Crown,中1,0,8,thirty,30
New Crown,中1,0,8,forty,40
New Crown,中1,0,8,fifty,50
New Crown,中1,0,8,a.m.,午前
New Crown,中1,0,8,p.m.,午後
New Crown,中1,0,8,beach,浜辺
New Crown,中1,0,8,flower,花
New Crown,中1,0,8,lake,湖
New Crown,中1,0,8,mountain,山
New Crown,中1,0,8,river,川
New Crown,中1,0,8,sea,海
New Crown,中1,0,8,book,本
New Crown,中1,0,8,Japan,日本
New Crown,中1,0,8,Egypt,エジプト
New Crown,中1,0,8,station,駅
New Crown,中1,0,8,zoo,動物園
New Crown,中1,0,8,bag,かばん
New Crown,中1,0,8,Australia,オーストラリア
New Crown,中1,0,8,Brazil,ブラジル
New Crown,中1,0,8,Canada,カナダ
New Crown,中1,0,8,China,中国
New Crown,中1,0,8,France,フランス
New Crown,中1,0,8,India,インド
New Crown,中1,0,8,South Korea,韓国
New Crown,中1,0,8,Spain,スペイン
New Crown,中1,0,8,the U.K.,イギリス
New Crown,中1,0,8,the U.S.A.,アメリカ合衆国
New Crown,中1,0,8,Germany,ドイツ
New Crown,中1,0,8,Ghana,ガーナ
New Crown,中1,0,8,Italy,イタリア
New Crown,中1,0,8,Kenya,ケニア
New Crown,中1,0,8,Peru,ペルー
New Crown,中1,0,8,Russia,ロシア
New Crown,中1,0,8,Singapore,シンガポール
New Crown,中1,0,8,Thailand,タイ
New Crown,中1,0,8,Turkey,トルコ
New Crown,中1,0,8,clock,時計
New Crown,中1,0,8,hat,帽子
New Crown,中1,0,8,notebook,ノート
New Crown,中1,0,8,pen,ペン
New Crown,中1,0,8,pencil,鉛筆
New Crown,中1,0,8,pencil case,筆箱
New Crown,中1,0,8,ruler,定規
New Crown,中1,0,8,scissors,はさみ
New Crown,中1,0,8,watch,腕時計
New Crown,中1,0,8,cap,(ふちのない) 帽子
New Crown,中1,0,8,cup,カップ
New Crown,中1,0,8,eraser,消しゴム
New Crown,中1,0,8,pants,ズボン
New Crown,中1,0,8,shoes,くつ
New Crown,中1,0,8,T-shirt,Tシャツ
New Crown,中1,0,8,amusement park,遊園地
New Crown,中1,0,8,aquarium,水族館
New Crown,中1,0,8,castle,城
New Crown,中1,0,8,hospital,病院
New Crown,中1,0,8,house,家
New Crown,中1,0,8,museum,博物館
New Crown,中1,0,8,restaurant,レストラン
New Crown,中1,0,8,shrine,神社
New Crown,中1,0,8,stadium,競技場
New Crown,中1,0,8,temple,寺
New Crown,中1,0,8,elementary school,小学校
New Crown,中1,0,8,junior high school,中学校
New Crown,中1,0,8,twenty-five,25
New Crown,中1,0,8,thirty-five,35
New Crown,中1,0,8,forty-five,45
New Crown,中1,0,8,fifty-five,55
New Crown,中2,1,1,minute(s),分
New Crown,中3,1,1,twice,2回
New Crown,中3,1,1,posted,投稿した
New Crown,中3,1,1,media,メディア
New Crown,中3,1,1,social media,ソーシャルメディア
New Crown,中3,1,1,blog,ブログ
New Crown,中3,1,1,come up with,思いつく
New Crown,中3,1,1,workshop,ワークショップ
New Crown,中3,1,1,attract,引きつける
New Crown,中3,1,1,clip(s),（ビデオ）クリップ
New Crown,中3,1,1,edit,編集する
New Crown,中1,1,1,Ms.,～さん、～先生 (女性)
New Crown,中1,1,1,I'm,私は～です (I am の短縮形)
New Crown,中1,1,1,often,しばしば
New Crown,中1,1,1,hi,やあ
New Crown,中1,1,1,like,～を好む
New Crown,中1,1,1,game(s),ゲーム、試合
New Crown,中1,1,1,on,～に、～で
New Crown,中1,1,1,at,～で、～に
New Crown,中1,1,1,in,～の中に
New Crown,中1,1,1,meet,～に会う
New Crown,中1,1,1,you,あなたは、あなたを
New Crown,中1,1,1,too,～もまた
New Crown,中2,1,2,against,～に対抗して、～と対戦して
New Crown,中2,1,2,lost,負けた
New Crown,中2,1,2,final,最後の
New Crown,中2,1,2,second(s),秒
New Crown,中2,1,2,broke,破った
New Crown,中2,1,2,surely,確かに、きっと
New Crown,中3,1,2,hobby,趣味
New Crown,中3,1,2,anybody,誰でも
New Crown,中3,1,2,beginner(s),初心者
New Crown,中3,1,2,close,近い
New Crown,中3,1,2,wind,風
New Crown,中3,1,2,awesome,すごい
New Crown,中3,1,2,rap,ラップ
New Crown,中1,1,2,after school,放課後
New Crown,中1,1,2,fan,ファン
New Crown,中1,1,2,every,毎～
New Crown,中1,1,2,every day,毎日
New Crown,中1,1,2,after,～の後で
New Crown,中1,1,2,hip-hop,ヒップホップ
New Crown,中1,1,2,dancer,ダンサー
New Crown,中1,1,2,day,日
New Crown,中3,1,3,bound for,･･･行きの
New Crown,中3,1,3,temporarily,一時的に
New Crown,中3,1,3,estimate,見積もる
New Crown,中3,1,3,option,選択肢
New Crown,中3,1,3,entire,全体の
New Crown,中3,1,3,in a hurry,急いで
New Crown,中3,1,3,instead,代わりに
New Crown,中3,1,3,crowded,こんでいる
New Crown,中3,1,3,apologize,謝る
New Crown,中3,1,3,No problem.,問題ない
New Crown,中3,1,3,deal,取引
New Crown,中3,1,3,It's a deal.,それで決まりだ
New Crown,中3,1,3,later,後で
New Crown,中1,1,3,rock,ロック
New Crown,中1,1,3,action,アクション、活動
New Crown,中1,1,3,anime,アニメ
New Crown,中1,1,3,manga,マンガ
New Crown,中1,1,3,weekend(s),週末
New Crown,中1,1,3,pet,ペット
New Crown,中1,1,3,what,何
New Crown,中1,1,3,look,見る
New Crown,中1,1,3,this,この
New Crown,中1,1,3,have,～を持っている
New Crown,中1,1,3,an,一つの
New Crown,中1,1,4,love,～を愛する、～が大好きである
New Crown,中1,1,4,flavor,風味、味
New Crown,中1,1,4,tablet,タブレット
New Crown,中1,1,4,many,たくさんの
New Crown,中1,1,5,zero,ゼロ
New Crown,中1,1,5,one,1
New Crown,中1,1,5,two,2
New Crown,中1,1,5,three,3
New Crown,中1,1,5,four,4
New Crown,中1,1,5,five,5
New Crown,中1,1,5,six,6
New Crown,中1,1,5,seven,7
New Crown,中1,1,5,eight,8
New Crown,中1,1,5,nine,9
New Crown,中1,1,5,ten,10
New Crown,中1,1,5,eleven,11
New Crown,中1,1,5,twelve,12
New Crown,中1,1,5,thirteen,13
New Crown,中1,1,5,fourteen,14
New Crown,中1,1,5,fifteen,15
New Crown,中1,1,5,sixteen,16
New Crown,中1,1,5,seventeen,17
New Crown,中1,1,5,eighteen,18
New Crown,中1,1,5,nineteen,19
New Crown,中1,1,5,twenty,20
New Crown,中1,1,5,thirty,30
New Crown,中1,1,5,forty,40
New Crown,中1,1,5,fifty,50
New Crown,中1,1,5,sixty,60
New Crown,中1,1,5,seventy,70
New Crown,中1,1,5,eighty,80
New Crown,中1,1,5,ninety,90
New Crown,中1,1,5,one hundred,100
New Crown,中1,1,5,one thousand,1000
New Crown,中2,2,1,if,もし・・・ならば
New Crown,中2,2,1,plastic,プラスチックの
New Crown,中2,2,1,depressed,落胆した
New Crown,中2,2,1,exam,試験
New Crown,中2,2,1,adventure,冒険
New Crown,中2,2,1,read,readの過去形
New Crown,中2,2,1,main,主な
New Crown,中2,2,1,naughty,いたずらな
New Crown,中2,2,1,trouble,やっかいなこと
New Crown,中2,2,1,lend,貸す
New Crown,中2,2,1,another,もう一つの
New Crown,中3,2,1,power,力
New Crown,中3,2,1,discuss(ing),議論する
New Crown,中3,2,1,album(s),アルバム
New Crown,中3,2,1,used,使用済みの
New Crown,中3,2,1,catchy,覚えやすい
New Crown,中3,2,1,audience,観客
New Crown,中3,2,1,sound like,～のように聞こえる
New Crown,中3,2,1,consider,考慮する
New Crown,中3,2,1,lately,最近
New Crown,中3,2,1,friendship,友情
New Crown,中3,2,1,lyric(s),歌詞
New Crown,中1,2,1,smile,ほほえみ
New Crown,中1,2,1,skateboard,スケートボード
New Crown,中1,2,1,popular,人気のある
New Crown,中1,2,1,her,彼女の
New Crown,中1,2,1,powerful,力強い
New Crown,中1,2,1,voice,声
New Crown,中1,2,1,she,彼女は
New Crown,中1,2,1,can,～できる
New Crown,中1,2,1,very well,とても上手に
New Crown,中1,2,1,he,彼は
New Crown,中1,2,1,singer,歌手
New Crown,中1,2,1,favorite,お気に入りの
New Crown,中1,2,1,song,歌
New Crown,中1,2,1,it,それは
New Crown,中1,2,1,please,どうぞ
New Crown,中2,2,2,think,…と思う
New Crown,中2,2,2,author,著者、作者
New Crown,中2,2,2,scenery,風景
New Crown,中2,2,2,drew,drawの過去形
New Crown,中2,2,2,nature,自然
New Crown,中2,2,2,in fact,実は
New Crown,中2,2,2,district,地方、地域
New Crown,中2,2,2,area,地域
New Crown,中2,2,2,landscape,風景
New Crown,中2,2,2,still,まだ、今でも
New Crown,中2,2,2,hope,…だとよいと思う、望む
New Crown,中2,2,2,someday,いつか
New Crown,中3,2,2,American,アメリカの
New Crown,中3,2,2,alone,一人で
New Crown,中3,2,2,TRUE,本当の
New Crown,中1,2,2,teach,教える
New Crown,中1,2,2,sure,もちろん
New Crown,中1,2,2,piece(s),駒、かけら
New Crown,中1,2,2,move,動く
New Crown,中1,2,2,space,空間、マス
New Crown,中1,2,2,forward,前へ
New Crown,中2,2,3,borrow,借りる
New Crown,中2,2,3,encourage,勇気づける
New Crown,中2,2,3,horror,恐ろしい
New Crown,中2,2,3,message,メッセージ
New Crown,中2,2,3,mystery,ミステリー
New Crown,中2,2,3,novel,小説
New Crown,中3,2,3,playlist,プレイリスト
New Crown,中3,2,3,those,それらの
New Crown,中3,2,3,remind,思い出させる
New Crown,中3,2,3,remind ... of ~,～に…を思い出させる
New Crown,中3,2,3,title,タイトル
New Crown,中3,2,3,impossible,不可能な
New Crown,中3,2,3,summertime,夏
New Crown,中3,2,3,melody,メロディー
New Crown,中3,2,3,rhythm,リズム
New Crown,中3,2,3,debut(ed),デビューした
New Crown,中3,2,3,complex,複雑な
New Crown,中3,2,3,unhappy,不幸な
New Crown,中3,2,3,word,単語
New Crown,中3,2,3,throughout,～の至る所に
New Crown,中3,2,3,person,人
New Crown,中3,2,3,ask for,～を求める
New Crown,中3,2,3,contrast,対照
New Crown,中3,2,3,concern(s),心配事
New Crown,中3,2,3,afraid,恐れて
New Crown,中3,2,3,passion,情熱
New Crown,中3,2,3,upbeat,陽気な
New Crown,中3,2,3,happy,幸せな
New Crown,中3,2,3,sad,悲しい
New Crown,中3,2,3,cheerful,元気のいい
New Crown,中3,2,3,depressed,落胆した
New Crown,中3,2,3,worried,不安で
New Crown,中3,2,3,be in love with,～に恋をしている
New Crown,中3,2,3,be afraid of something,何かを恐れている
New Crown,中3,2,3,be proud of yourself,あなた自身を誇りに思う
New Crown,中3,2,3,have strong passion,強い情熱がある
New Crown,中3,2,3,get into a fight with your best friend,親友とけんかになる
New Crown,中1,2,3,uncle,おじ
New Crown,中1,2,3,language(s),言語
New Crown,中1,2,3,his,彼の
New Crown,中1,2,3,Chinese,中国語
New Crown,中1,2,3,speak,話す
New Crown,中2,2,4,witch,魔女
New Crown,中2,2,4,training,訓練
New Crown,中2,2,4,finish,終える
New Crown,中2,2,4,perfect,完璧な
New Crown,中2,2,4,because,なぜなら…
New Crown,中2,2,4,vocabulary,語彙
New Crown,中2,2,4,easy,簡単な
New Crown,中2,2,4,plus,その上
New Crown,中2,2,4,grown-up,おとなの
New Crown,中2,2,4,town,町
New Crown,中2,2,4,among,…の間で
New Crown,中2,2,4,teenager,10代の若者
New Crown,中2,2,4,ending,結末
New Crown,中2,2,5,charity,慈善
New Crown,中2,2,5,improve,よりよくする
New Crown,中2,2,5,rescue,救い出す
New Crown,中2,2,5,cost,(お金が)かかる
New Crown,中2,2,5,abandoned,捨てられた
New Crown,中2,2,5,may,…してもよい
New Crown,中2,2,5,How about...?,…はどうですか
New Crown,中2,2,5,suggest,提案する
New Crown,中2,2,5,hello,こんにちは
New Crown,中3,2,5,roller coaster,ジェットコースター
New Crown,中3,2,5,close,閉鎖する
New Crown,中3,2,5,daytime,日中
New Crown,中3,2,5,double,2倍の
New Crown,中3,2,5,feel free to,気軽に～する
New Crown,中3,2,5,numbered,番号のふられた
New Crown,中3,2,5,haunted,幽霊の出る
New Crown,中3,2,5,according,～によると
New Crown,中3,2,5,go-cart,ゴーカート
New Crown,中3,2,5,Ferris wheel,観覧車
New Crown,中3,2,5,app,アプリ
New Crown,中2,3,1,dream,夢
New Crown,中2,3,1,build,建てる
New Crown,中2,3,1,tower,塔
New Crown,中2,3,1,interpreter,通訳者
New Crown,中2,3,1,around the world,世界中に
New Crown,中2,3,1,world,世界
New Crown,中2,3,1,decide,決める
New Crown,中2,3,1,yourself,あなた自身
New Crown,中2,3,1,interest,興味
New Crown,中2,3,1,lots of ...,たくさんの…
New Crown,中2,3,1,bake,(パンなどを)焼く
New Crown,中2,3,1,more,もっと多くの
New Crown,中2,3,1,perhaps,もしかすると
New Crown,中2,3,1,bakery,パン屋
New Crown,中3,3,1,thousands of,数千の
New Crown,中3,3,1,wet,ぬれた
New Crown,中3,3,1,mop,モップ
New Crown,中3,3,1,broom,ほうき
New Crown,中3,3,1,memorial,記念の
New Crown,中3,3,1,background,背景
New Crown,中3,3,1,information,情報
New Crown,中3,3,1,atomic,原子の
New Crown,中3,3,1,bomb,爆弾
New Crown,中3,3,1,atomic bomb,原子爆弾
New Crown,中3,3,1,remain(ed),残った
New Crown,中3,3,1,dome,ドーム
New Crown,中3,3,1,Peace Memorial Park,平和記念公園
New Crown,中3,3,1,Atomic Bomb Dome,原爆ドーム
New Crown,中1,3,1,gate,門
New Crown,中1,3,1,scary,怖い
New Crown,中1,3,1,statue(s),像
New Crown,中1,3,1,zucchini,ズッキーニ
New Crown,中1,3,1,shop,店
New Crown,中1,3,1,that,あれは、それは
New Crown,中1,3,1,we,私たちは
New Crown,中2,3,2,customer,客
New Crown,中2,3,2,relax,くつろぐ
New Crown,中2,3,2,provide,提供する
New Crown,中2,3,2,several,いくつかの
New Crown,中2,3,2,that way,そのようにして
New Crown,中2,3,2,plenty,たくさん
New Crown,中2,3,2,choice,選択肢
New Crown,中2,3,2,however,しかしながら
New Crown,中2,3,2,away,離れて
New Crown,中2,3,2,waste,むだにする
New Crown,中2,3,2,discount,割引する
New Crown,中2,3,2,enough,十分な
New Crown,中3,3,2,moving,感動的な
New Crown,中3,3,2,display,展示する
New Crown,中3,3,2,on display,展示されて
New Crown,中3,3,2,feeling(s),感情
New Crown,中3,3,2,suffer(ed),苦しんだ
New Crown,中3,3,2,suffer from,～で苦しむ
New Crown,中3,3,2,effect(s),影響
New Crown,中3,3,2,booklet,小冊子
New Crown,中3,3,2,detail,詳細
New Crown,中3,3,2,depress(ed),落胆させる
New Crown,中1,3,2,dictionary,辞書
New Crown,中1,3,2,blackboard,黒板
New Crown,中1,3,2,correct,正しい
New Crown,中1,3,2,almost,ほとんど
New Crown,中1,3,2,wrong,間違った
New Crown,中1,3,2,Indian,インドの
New Crown,中1,3,2,traditional,伝統的な
New Crown,中1,3,2,musical,音楽の
New Crown,中1,3,2,instrument,楽器
New Crown,中1,3,2,little,少し
New Crown,中1,3,2,online,オンラインの
New Crown,中1,3,2,gift,贈り物
New Crown,中1,3,2,aunt,おば
New Crown,中1,3,2,right,正しい
New Crown,中1,3,2,from,～から
New Crown,中2,3,3,over,終わって
New Crown,中2,3,3,review,見直す
New Crown,中2,3,3,rule,規則
