species	種（しゅ）
manic	躁状態の／異常にハイな
addiction	依存症／中毒
trance	トランス状態／恍惚状態
ecosystem	生態系
deforestation	森林伐採
logging	伐採業／木材伐採
reforestation	再植林
pasture	牧草地
greenhouse effect	温室効果
tropical rain forest	熱帯雨林
fossil fuel	化石燃料
carbon dioxide	二酸化炭素
carbon offset	カーボン・オフセット（排出量相殺）
renewable energy	再生可能エネルギー
radiation	放射線／放射
hydropower	水力発電
solar power	太陽光発電
biodiesel	バイオディーゼル
acid rain	酸性雨
Antarctica	南極大陸
biodiversity	生物多様性
coral reef	サンゴ礁
overfishing	乱獲
poacher	密猟者
conservationist	自然保護活動家
pollute	汚染する
pollutant	汚染物質
dumping	不法投棄／投げ捨て
landfill	埋立地／ゴミ埋立処分場
soil	土壌／土
organic	有機の／有機栽培の
compost	堆肥
fertilizer	肥料
pesticide	農薬／殺虫剤
harvest	収穫（する）
cereal	穀物／シリアル
wheat	小麦
soybean	大豆
mineral	鉱物／ミネラル
limestone	石灰岩
quartz	石英
crystal	結晶／水晶
continent	大陸
equator	赤道
tropic	回帰線／熱帯地方
volcano	火山
ash	灰
wetland	湿地
seabed	海底
inland	内陸の
bay	湾
ground water	地下水
gravity	重力／引力
subzero	氷点下の
rainfall	降雨量／雨
drizzle	霧雨
frost	霜／冷え込み
breeze	そよ風
gale	強風
tornado	竜巻
flood	洪水
wildfire	山火事／野火
astronomer	天文学者
galaxy	銀河
Mercury	水星
Venus	金星
Mars	火星
Jupiter	木星
Saturn	土星
Uranus	天王星
Neptune	海王星
Pluto	冥王星
aerospace	航空宇宙（産業）
spacecraft	宇宙船
astronaut	宇宙飛行士
atmosphere	大気／雰囲気
orbit	軌道／周回軌道を回る
asteroid	小惑星
comet	彗星
meteorite	隕石
solstice	至（夏至・冬至）
ion	イオン
liquid	液体／液体の
metallurgy	冶金学／金属加工
element	元素／要素
molecule	分子
hydrogen	水素
oxygen	酸素
nitrogen	窒素
carbon	炭素
arsenic	ヒ素
bronze	青銅
copper	銅
phosphorus	リン
sulfur	硫黄
acid	酸
fluoride	フッ化物
petroleum	石油
resin	樹脂
sulfuric acid	硫酸
zinc	亜鉛
antioxidant	抗酸化物質
rectangle	長方形
square	正方形／四角形
cone	円すい
radius	半径
diameter	直径
equation	方程式
infinity	無限
cyberspace	サイバースペース／仮想空間
decode	解読する／暗号を解く
thermostat	温度調節器／サーモスタット
laptop	ノートパソコン
sonar	ソナー（水中音波探知機）
electrode	電極
canal	運河／水路
sewer	下水道
fountain	噴水
clog	詰まらせる／詰まる
plumbing	配管設備／水道工事
janitor	用務員／管理人
highway	幹線道路／高速道路
bypass	バイパス
intersection	交差点
aircraft	航空機
aviation	航空（術）
license	免許／許可証
locomotive	機関車
mileage	走行距離／燃費
navigate	航行する／道案内する
runway	滑走路
shuttle	シャトル便／往復バス・電車など
timetable	時刻表
toll-free	通話料無料の／無料通行の
surcharge	追加料金
federation	連盟／連邦
Congress	（米国などの）議会
Senate	上院
majority	多数派／過半数
embassy	大使館
ambassador	大使
diplomat	外交官
commander	司令官／指揮官
bomber	爆撃機／爆弾犯
weaponry	兵器類
arsenal	兵器庫／武器の蓄え
pact	協定／条約
territory	領土／領域
refugee	難民
monetary	通貨の／金銭の
devalue	価値を下げる／通貨の切り下げをする
minting	造幣／硬貨を作ること
inflation	インフレ／物価上昇
gross domestic product	国内総生産（GDP）
rating	格付け／評価
courthouse	裁判所の建物
innocence	無罪／無実
imprisonment	投獄／監禁
probation	保護観察／執行猶予
informant	情報提供者／密告者
robbery	強盗（罪）
trafficking	不正取引／密売・人身売買
gangster	ギャング
smuggler	密輸業者
poverty	貧困
brainwashing	洗脳
manufacturer	製造業者／メーカー
retailer	小売業者
auction	オークション／競売
output	生産高／出力
prototype	試作品／原型
monopoly	独占（企業）
questionnaire	アンケート（用紙）
respondent	回答者
conference	会議／大会
pavilion	展示館／パビリオン
CEO	最高経営責任者
auditor	会計監査人／監査官
workshop	講習会／作業場
internship	インターンシップ／就業体験
bulletin board	掲示板
adhesive	接着剤／粘着性の
paycheck	給料（の小切手）
pension	年金
recreation	レクリエーション／気晴らし
union	組合／労働組合
unemployment	失業（状態）
dinosaur	恐竜
evolution	進化
archaeologist	考古学者
excavation	発掘（作業）
ancient	古代の／古い
remains	遺物／遺跡／遺骸
shipwreck	難破船／沈没船
mummy	ミイラ
millennium	千年（紀）
monarch	君主／国王
ancestor	祖先
throne	王位／玉座
aristocrat	貴族
tyrant	暴君
warrior	戦士
peasant	小作農／農民
piracy	海賊行為／著作権侵害
settler	入植者／開拓者
slaughter	大量虐殺／屠殺
dagger	短剣
cemetery	墓地
graveyard	墓場
tomb	墓／墓碑
catacomb	地下墓地
coffin	棺
monument	記念碑／モニュメント
worship	礼拝する／崇拝（する）
morality	道徳／倫理観
sermon	説教／説法
sin	罪
archbishop	大司教
bishop	司教
priest	司祭／神父／聖職者
chapel	礼拝堂
choir	合唱団／聖歌隊
missionary	宣教師
pilgrim	巡礼者
publication	出版物／出版
myth	神話／作り話
proverb	ことわざ
stopover	途中降機／途中滞在
safari	サファリ旅行／（アフリカの）狩猟旅行
atlas	地図帳
aroma	よい香り／アロマ
artistry	芸術性／技巧
auditorium	講堂／ホール
scenery	景色／舞台装置
panorama	パノラマ／全景
pillar	柱／支柱
carving	彫刻
plaster	しっくい／石膏／ばんそうこう（英）
collage	コラージュ
masterpiece	傑作／名作
patron	後援者／ひいき客
graffiti	落書き（アート）
recital	リサイタル／独奏会
finale	フィナーレ／最終楽章・最後の場面
rehearsal	リハーサル／通し練習
debut	デビュー／初舞台
vandalism	故意の破壊行為
pageant	華やかな行列／ショー・コンテスト
fiction	フィクション／小説
parody	パロディー／風刺的な模倣
prologue	序幕／前口上
paradox	逆説／一見矛盾した事実
metaphor	隠喩／比喩表現
undergraduate	学部生／大学生（学士課程）
doctorate	博士号
dormitory	寮
nursery	保育園／苗床
curriculum	カリキュラム／教育課程
bilingual	二言語を話す／バイリンガルの
sentence	文／判決
phrase	句／言い回し
pronunciation	発音
adjective	形容詞
martial arts	武道／格闘技
referee	審判員／レフェリー
gymnastics	体操競技／体操
stamina	持久力／スタミナ
