fall back on ～	～に頼る／～を当てにする
bounce back	立ち直る／回復する
stop up	ふさぐ／詰まらせる
bet on ～	～に賭ける／～を当てにする
get around	あちこち動き回る／うまく切り抜ける・回避する
fall off	落ちる／減少する
round out	仕上げて完全なものにする／締めくくる
pay off	報われる／（借金を）完済する
go by	通り過ぎる／（時間が）たつ／〜という名で通る
bear with ～	～に辛抱する／我慢して付き合う
go along with ～	～に同調する／～に賛成する
touch on ～	～に軽く触れる／簡単に言及する
come before ～	～より先に来る／～の前に立ちはだかる・優先される
phase out	段階的に廃止する
tune up	調整する／音合わせをする
head out	出かける／出発する
come off	うまくいく／取れる・はがれる
put forth	提示する／（力・能力を）発揮する
branch off	分岐する／枝分かれする
hang around (～)	（～で）ぶらぶらする／うろつく
narrow down	絞り込む
spring from ～	～から生じる／～に由来する
fill in for ～	～の代わりを務める
adhere to ～	～に従う／～を守る／～にくっつく
settle for ～	やむなく～で手を打つ／～で我慢する
catch up on ～	～に追いつく／たまった～を片付ける
get down to ～	～に本腰を入れて取りかかる
put forward	提案する／推薦する
lay down	置く／（規則・条件を）定める
set in	（季節・悪天候・傾向などが）始まる／定着する
fall away	減る／はがれ落ちる／離れていく
sit by	何もせず傍観する
eat up	食べ尽くす／（時間・お金などを）食う
burn off	燃やして取り除く／（脂肪などを）燃焼させる
cling to ～	～にしがみつく／～に固執する
pull off	うまくやり遂げる／引きはがす
go at ～	～に襲いかかる／～に熱心に取り組む
get at ～	～に達する／～の意味をつかむ／～をほのめかす
come through	切り抜ける／（約束どおり）うまくやり遂げる
turn out	判明する／（結果として）～になる／（人が）集まる
be drawn into ～	～に引き込まれる／～に巻き込まれる
blow over	（嵐・スキャンダルなどが）収まる／鎮まる
shove aside	脇に押しやる／無視する
attend to ～	～の世話をする／～に注意を向ける／～を処理する
back down	引き下がる／取り消す・撤回する
pull through	（病気・危機などを）切り抜ける／回復する
stand down	身を引く／辞任する／待機を解く
give off	（光・熱・においなどを）発する
play up	大げさに扱う／強調する／（子ども・体などが）手を焼かせる
do away with ～	～を廃止する／～をなくす
take on	引き受ける／雇う／（性質・様相を）帯びる／戦う
hand off	手渡す／引き継ぐ
bank on ～	～を当てにする／頼りにする
make out	理解する／判別する／（書類などを）作成する
call on ～	～を訪ねる／～に頼む／～に発言を求める
sink in	（意味などが）だんだん分かってくる／染み込む
brush off	払いのける／相手にしない／無視する
get away with ～	～しても罰を受けない／うまくごまかす
back up	後退する／支援する／バックアップを取る
draw up	（文書などを）作成する／（車が）止まる
roll up	巻き上げる／丸める／（車などで）やってくる
run through ～	～にざっと目を通す／～をすばやく確認する／～を使い果たす
build up	築き上げる／徐々に増やす
turn down	断る／音量・温度などを下げる
let down	がっかりさせる／下におろす
count on ～	～を当てにする／頼りにする
get by	なんとかやっていく／（生活などを）切り抜ける
lay off	解雇する／（～するのを）やめる
opt for ～	～を選ぶ
wear off	（痛み・効果などが）薄れる／消える
wash away	洗い流す／押し流す
give in	屈する／譲歩する／（宿題などを）提出する
make over	作り変える／改造する／譲渡する
sign out	署名して退出する／サインアウトする
wave off	手を振って見送る／（提案・申し出などを）断る
try out	試してみる／試用する／オーディションを受ける
stumble on ～	～を偶然見つける
talk up	ほめちぎる／宣伝する
scoop up	すくい上げる／すばやく拾い集める
go through with ～	～を最後までやり遂げる
pick over	しげしげと調べる／選り分ける
scale down	規模を縮小する
lift off	（ロケットなどが）打ち上がる／離陸する
hold down	抑える／維持する（仕事・費用など）
clean out	きれいに片づける／中身を一掃する／（お金を）巻き上げる
air out	換気する／風を通す
look out for ～	～に気をつける／～を気にかける・見守る
grow into ～	成長して～になる／～に発展する
close in	迫る／近づく／取り囲む
step up	強化する／増やす／一歩前に出る
cut in	割り込む／口を挟む／（機械などが）作動し始める
look down on ～	～を見下す／軽蔑する
pass out	気を失う／配る
slip on	さっと身につける／滑って上に乗る
play out	展開する／進行して終わる／使い尽くす
pull back	引き戻す／撤退する
skim over	ざっと目を通す／上をかすめて通る
tell on ～	～にこたえる（疲れなどが出る）／～の悪事を告げ口する
smooth over	なだめて丸く収める／（問題・対立を）和らげる
pack up	荷造りする／片付けて立ち去る／（機械が）壊れて動かなくなる
tuck in	押し込む／（子どもを）布団に入れて寝かせる／たくさん食べる（英）
wash down	（飲み物で）流し込む／水で洗い流す
go under	沈む／（会社などが）倒産する
turn over	ひっくり返す／回転させる／引き渡す
tip over	ひっくり返る／ひっくり返す
press for ～	～を強く求める／迫る
stand over ～	～のそばに立って見張る／監督する
touch up	仕上げをする／手直しする
get in on ～	～に参加する／～に乗っかる
put through	（電話を）つなぐ／～を経験させる／やり遂げさせる
shut out	締め出す／遮断する／（スポーツで）完封する
face off	対決する／対峙する
pick through ～	～の中から選り分ける／つついて探す
drive off	追い払う／車で立ち去る
pass for ～	～と見なされる／～として通用する
hold over	延期する／持ち越す
run down	疲れ果てさせる／（車が人を）はねる／電池が切れる／～をけなす／～を見つけ出す
slip by	（時間などが）いつの間にか過ぎる
put up with ～	～を我慢する／耐える
pin down	突き止める／はっきりさせる／（人に）白黒つけさせる
rub in	こすり込む／（嫌なことを）しつこく持ち出して傷つける
clear out	片づけて出て行く／立ち去る
doze off	うとうとする／うたた寝する
take up	始める／（時間・場所を）取る／引き受ける
drive out	追い出す／追い払う
set up	設置する／設立する／準備する
act up	（子ども・機械などが）問題を起こす／調子が悪くなる
run out	尽きる／使い果たす
single out	一人（1つ）だけ選び出す／指名する
break up	別れる／解散する／砕く
deal in ～	～を商う／～を扱う
break out	（戦争・火事・病気などが）起こる／勃発する／逃亡する
water down	水で薄める／（表現などを）弱める
pass on	手渡す／伝える／（人が）亡くなる
fall apart	バラバラになる／（精神的に）崩れる
settle in	新しい環境に慣れる／落ち着く
step out	外出する／少し席を外す
mark down	値下げする／書き留める
break in on ～	～（の話・活動）に割り込む／邪魔をする
sit in on ～	～に出席する／傍聴する
buy up	買い占める
size up	評価する／見きわめる
let off	降ろす／（爆竹などを）鳴らす／（罰などを）軽くする・見逃す
mark out	線を引いて区切る／区別して示す
feed off ～	～から糧を得る／～に依存して利益を得る
flag down	（車・タクシーなどを）合図して止める
rise above ～	～を克服する／～を超越する
figure on ～	～を当てにする／～を見込む・予想する
hold up	遅らせる／（強盗などで）襲う／持ちこたえる
tell off	きつく叱る／ガミガミ言う
live down	（過去の失敗・恥などを）時間をかけて忘れさせる
feel out	探りを入れる／相手の気持ち・考えを探る
hammer out	（議論して）たたき上げる／まとめ上げる
throw off	投げ捨てる／振り払う／（病気などから）早く回復する
pass over	～を昇進から外す／～を無視する・見過ごす
pull up	（車などが）止まる／引き抜く・引き上げる
pass down	伝える／受け継がせる
come by ～	～を手に入れる／～のそばを通る
take to ～	～が好きになる／～を習慣にする／～に逃げ込む
head off	阻止する／先回りして止める／出発する
cough up	しぶしぶ（金などを）払う／（痰などを）咳と一緒に出す
stop over	途中で一泊する／途中下車する
drive up	車で行く／（価格などを）引き上げる
follow up	続けて行う／追跡調査する
level off	横ばいになる／落ち着く
deal out	分配する／配る
stick by ～	～のそばを離れない／～を見捨てない・支持し続ける
show up	現れる／姿を見せる／目立つ
write back	返事を書く／返信する
stack up	積み重なる／（比較して）見劣りしない・する
tuck away	しまい込む／隠して取っておく
crack up	大笑いする／（精神的に）参る・おかしくなる
rip off	ぼったくる／～を盗む
scratch out	ひっかいて消す／なんとか書く・なんとか生計を立てる
whip up	手早く作る／（感情などを）あおり立てる
rack up	（勝利・損失・得点などを）重ねる／獲得する
shove off	出て行く／船出する
bottom out	下げ止まる／底を打つ
nod off	こっくりする／うとうと眠ってしまう
send for ～	～を呼びにやる／～を取り寄せる
stay off ～	～を避ける／～に近寄らない・口にしない
act out	行動で表す／問題行動をする
fix up	手配する／修理する／整える
carry through	やり遂げる／実行し通す
roll in	どっと押し寄せる／続々と届く・入ってくる
answer for ～	～に責任を負う／～を保証する
stand up to ～	～に立ち向かう／～に耐える
free up	空ける／解放する
weigh on ～	～にのしかかる／～の心を重くする
tie up	縛る／（予定などで）ふさぐ／提携する
grow on ～	～の心にだんだんと深くなる／～がだんだん好きにならせる
let out	放す／漏らす／（服を）出して大きくする
lock A in B	AをBの中に閉じ込める
watch over ～	～を見守る／監視する
blast off	（ロケットなどが）打ち上がる／発射する
go back on ～	（約束・言葉などを）破る／裏切る
lay into ～	～を激しく非難する／殴りかかる
force down	（無理に）飲み込む／抑え込む（価格など）
bring off	やり遂げる／成功させる
pile up	積み重なる／たまる
ease into ～	～に徐々に慣れさせる／自然に入っていく
break off	急にやめる／関係を断つ／折れる
hang on ～	～にしがみつく／～にかかっている
fall under ～	～の影響下に入る／～の部類に入る
send out for ～	（出前などを）～に注文する
fire up	奮い立たせる／エンジンなどを始動させる／怒らせる
check off	チェックを入れる／一つずつ確認する
gear up	準備する／準備させる
derive from ～	～に由来する／～から引き出す
dream up	思いつく／でっち上げる
carry over	持ち越す／繰り越される
get on with ～	～とうまくやる／～をどんどん進める
turn to ～	～に頼る／～に取りかかる
make do with ～	～で間に合わせる
kick in	（効き目などが）出始める／（お金を）出し合う／蹴り込んで壊す
pitch in	協力する／力を貸す
